ΔX całkowite = -605, ΔY całkowite = 13
Start: (631, 238)
End:   (26, 251)

🧭 Przesunięcia między klatkami:
Klatka 1: ΔX = 0, ΔY = 0
Klatka 2: ΔX = -23, ΔY = -9
Klatka 3: ΔX = 0, ΔY = 0
Klatka 4: ΔX = -6, ΔY = 7
Klatka 5: ΔX = -3, ΔY = 0
Klatka 6: ΔX = 0, ΔY = 0
Klatka 7: ΔX = -26, ΔY = 0
Klatka 8: ΔX = -13, ΔY = -4
Klatka 9: ΔX = 0, ΔY = 0
Klatka 10: ΔX = -8, ΔY = 6
Klatka 11: ΔX = -4, ΔY = -2
Klatka 12: ΔX = 0, ΔY = 0
Klatka 13: ΔX = -24, ΔY = -5
Klatka 14: ΔX = -7, ΔY = 2
Klatka 15: ΔX = 0, ΔY = 0
Klatka 16: ΔX = -18, ΔY = 2
Klatka 17: ΔX = -22, ΔY = 6
Klatka 18: ΔX = 0, ΔY = 0
Klatka 19: ΔX = -22, ΔY = 1
Klatka 20: ΔX = -6, ΔY = 0
Klatka 21: ΔX = 0, ΔY = 0
Klatka 22: ΔX = -15, ΔY = -2
Klatka 23: ΔX = -5, ΔY = -2
Klatka 24: ΔX = 0, ΔY = 0
Klatka 25: ΔX = -17, ΔY = 0
Klatka 26: ΔX = -5, ΔY = -2
Klatka 27: ΔX = 0, ΔY = 0
Klatka 28: ΔX = -23, ΔY = -2
Klatka 29: ΔX = -6, ΔY = 2
Klatka 30: ΔX = 0, ΔY = 0
Klatka 31: ΔX = -15, ΔY = 4
Klatka 32: ΔX = -14, ΔY = 9
Klatka 33: ΔX = 0, ΔY = 0
Klatka 34: ΔX = -8, ΔY = 9
Klatka 35: ΔX = -9, ΔY = 0
Klatka 36: ΔX = 0, ΔY = 0
Klatka 37: ΔX = -14, ΔY = -3
Klatka 38: ΔX = -14, ΔY = -3
Klatka 39: ΔX = 0, ΔY = 0
Klatka 40: ΔX = -6, ΔY = -9
Klatka 41: ΔX = -3, ΔY = -9
Klatka 42: ΔX = 0, ΔY = 0
Klatka 43: ΔX = -25, ΔY = -1
Klatka 44: ΔX = -7, ΔY = 2
Klatka 45: ΔX = 0, ΔY = 0
Klatka 46: ΔX = -14, ΔY = 1
Klatka 47: ΔX = -13, ΔY = 3
Klatka 48: ΔX = 0, ΔY = 0
Klatka 49: ΔX = -20, ΔY = 4
Klatka 50: ΔX = -4, ΔY = 3
Klatka 51: ΔX = 0, ΔY = 0
Klatka 52: ΔX = -22, ΔY = -8
Klatka 53: ΔX = -10, ΔY = 0
Klatka 54: ΔX = 0, ΔY = 0
Klatka 55: ΔX = -17, ΔY = 4
Klatka 56: ΔX = -4, ΔY = 1
Klatka 57: ΔX = 0, ΔY = 0
Klatka 58: ΔX = -13, ΔY = 0
Klatka 59: ΔX = -9, ΔY = -5
Klatka 60: ΔX = 0, ΔY = 0
Klatka 61: ΔX = -17, ΔY = -4
Klatka 62: ΔX = -19, ΔY = -4
Klatka 63: ΔX = 0, ΔY = 0
Klatka 64: ΔX = -3, ΔY = -7
Klatka 65: ΔX = -17, ΔY = -1
Klatka 66: ΔX = 0, ΔY = 0
Klatka 67: ΔX = -28, ΔY = 4
Klatka 68: ΔX = -6, ΔY = 0
Klatka 69: ΔX = 0, ΔY = 0
Klatka 70: ΔX = -15, ΔY = -2
Klatka 71: ΔX = -6, ΔY = 1
Klatka 72: ΔX = 0, ΔY = 0
